species,phyloname.x,Order.x,Family.x,Bodymass,Age_at_first_breeding,Max_longevity,Name_update.helps.later.,Traded,Cites_name,Listing,Trade_since_2000,Trade_since_2015
Abeillia abeillei,Abeillia abeillei,CAPRIMULGIFORMES,Trochilidae,2.7,0.855828091,6.764835079,Abeillia abeillei,1,Abeillia abeillei,Listed,1,1
Abroscopus albogularis,Abroscopus albogularis,PASSERIFORMES,Scotocercidae,4.84,0.81566177,6.107698629,Abroscopus albogularis,1,Abroscopus albogularis,Not Listed,0,0
Abroscopus schisticeps,Abroscopus schisticeps,PASSERIFORMES,Scotocercidae,4.7,0.780159508,5.957459914,Abroscopus schisticeps,1,Abroscopus schisticeps,Not Listed,0,0
Abroscopus superciliaris,Abroscopus superciliaris,PASSERIFORMES,Scotocercidae,6.48,0.898025387,6.286717288,Abroscopus superciliaris,1,Abroscopus superciliaris,Not Listed,0,0
Aburria aburri,Aburria aburri,GALLIFORMES,Cracidae,1405.08,2.715930502,20.65698459,Aburria aburri,1,Aburria aburri,Not Listed,0,0
Acanthagenys rufogularis,Acanthagenys rufogularis,PASSERIFORMES,Meliphagidae,47.8,1.41109303,13.57064622,Acanthagenys rufogularis,1,Acanthagenys rufogularis,Not Listed,0,0
Acanthidops bairdi,Acanthidops bairdii,PASSERIFORMES,Thraupidae,16,1.028734007,8.25154653,Acanthidops bairdi,1,Acanthidops bairdi,Not Listed,0,0
Acanthisitta chloris,Acanthisitta chloris,PASSERIFORMES,Acanthisittidae,6.91,0.874921555,6.563452551,Acanthisitta chloris,0,Acanthisitta chloris,Not Listed,0,0
Acanthiza apicalis,Acanthiza apicalis,PASSERIFORMES,Acanthizidae,7.62,1.028145284,16.90136986,Acanthiza apicalis,0,Acanthiza apicalis,Not Listed,0,0
Acanthiza chrysorrhoa,Acanthiza chrysorrhoa,PASSERIFORMES,Acanthizidae,9.29,0.989406932,13.10410959,Acanthiza chrysorrhoa,1,Acanthiza chrysorrhoa,Not Listed,0,0
Acanthiza ewingii,Acanthiza ewingii,PASSERIFORMES,Acanthizidae,6.9,0.933108524,11.93437065,Acanthiza ewingii,1,Acanthiza ewingii,Not Listed,0,0
